ORDER_ID,RUSH_CHARGE
10000,5
10027,5
10039,5
10066,5
10073,5
10092,5
10110,5
10118,5
10160,5
10163,5
10177,5
10186,5
10193,5
10202,5
10212,5
10213,5
10218,5
10220,5
10302,5
10304,5
10306,5
10339,5
10341,5
10369,5
10375,5
10392,5
10416,5
10436,5
10453,5
10479,5
10494,5
10524,5
10533,5
10538,5
10560,5
10604,5
10605,5
10607,5
10616,5
10621,5
10712,5
10745,5
10754,5
10755,5
10764,5
10790,5
10877,5
10899,5
10918,5
10925,5
10941,5
10972,5
10997,5
11010,5
11017,5
11066,5
11087,5
11092,5
11098,5
11145,5
11146,5
11159,5
11220,5
11233,5
11243,5
11251,5
11279,5
11314,5
11328,5
11332,5
11337,5
11342,5
11371,5
11376,5
11434,5
11448,5
11482,5
11484,5
11498,5
11509,5
11515,5
11537,5
11555,5
11572,5
11573,5
11590,5
11599,5
11600,5
11618,5
11662,5
11665,5
11703,5
11732,5
11745,5
11758,5
11852,5
11867,5
11884,5
11885,5
11902,5
11932,5
11933,5
11961,5
11967,5
11970,5
12003,5
12021,5
12029,5
12037,5
12057,5
12072,5
12075,5
12085,5
12086,5
12094,5
12125,5
12154,5
12155,5
12166,5
12209,5
12219,5
12250,5
12274,5
12281,5
12290,5
12323,5
12372,5
12430,5
12451,5
12482,5
12484,5
12533,5
12546,5
12555,5
12559,5
12575,5
12594,5
12654,5
12701,5
12721,5
12725,5
12743,5
12747,5
12779,5
12784,5
12809,5
12819,5
12823,5
12825,5
12832,5
12841,5
12850,5
12859,5
12865,5
12887,5
12897,5
12942,5
12964,5
12972,5
12973,5
12994,5
13001,5
13004,5
13023,5
13038,5
13063,5
13100,5
13186,5
13202,5
13228,5
13234,5
13237,5
13239,5
13245,5
13308,5
13315,5
13379,5
13447,5
13516,5
13545,5
13574,5
13603,5
13605,5
13609,5
13623,5
13637,5
13647,5
13672,5
13686,5
13691,5
13730,5
13731,5
13733,5
13738,5
13783,5
13785,5
13791,5
13872,5
13907,5
13950,5
13953,5
13961,5
13969,5
13974,5
13981,5
13983,5
14013,5
14050,5
14090,5
14149,5
14186,5
14207,5
14229,5
14347,5
14377,5
14378,5
14386,5
14405,5
14426,5
14438,5
14469,5
14489,5
14491,5
14492,5
14505,5
14515,5
14524,5
14547,5
14551,5
14586,5
14596,5
14662,5
14705,5
14709,5
14764,5
14785,5
14816,5
14830,5
14861,5
14881,5
14885,5
14995,5
15064,5
15069,5
15188,5
15192,5
15200,5
15256,5
15283,5
15298,5
15301,5
15326,5
15328,5
15334,5
15335,5
15336,5
15343,5
15366,5
15401,5
15410,5
15413,5
15440,5
15445,5
15465,5
15511,5
15519,5
15526,5
15531,5
15539,5
15540,5
15572,5
15600,5
15629,5
15651,5
15656,5
15665,5
15670,5
15676,5
15686,5
15751,5
15752,5
15771,5
15773,5
15856,5
15901,5
15905,5
15908,5
15943,5
15944,5
15949,5
15952,5
15960,5
16017,5
16028,5
16039,5
16056,5
16068,5
16156,5
16174,5
16182,5
16200,5
16237,5
16253,5
16298,5
16315,5
16330,5
16348,5
16403,5
16417,5
16480,5
16497,5
16510,5
16529,5
16565,5
16592,5
16598,5
16635,5
16696,5
16753,5
16767,5
16824,5
16836,5
16912,5
16920,5
16926,5
16957,5
16970,5
17016,5
17031,5
17069,5
17084,5
17091,5
17119,5
17128,5
17137,5
17168,5
17177,5
17185,5
17213,5
17226,5
17237,5
17247,5
17277,5
17300,5
17302,5
17316,5
17339,5
17372,5
17398,5
17429,5
17442,5
17450,5
17454,5
17457,5
17494,5
17496,5
17518,5
17522,5
17534,5
17536,5
17541,5
17547,5
17582,5
17629,5
17648,5
17713,5
17747,5
17748,5
17764,5
17785,5
17804,5
17850,5
17852,5
17862,5
17886,5
17915,5
17919,5
17952,5
17956,5
17958,5
17979,5
17994,5
18044,5
18070,5
18083,5
18125,5
18163,5
18195,5
18243,5
18302,5
18422,5
18440,5
18450,5
18488,5
18496,5
18506,5
18514,5
18520,5
18535,5
18581,5
18651,5
18662,5
18687,5
18696,5
18729,5
18749,5
18765,5
18783,5
18809,5
18842,5
18860,5
18869,5
18884,5
18887,5
18909,5
18920,5
18922,5
18932,5
18942,5
18957,5
18965,5
18971,5
19000,5
19006,5
19009,5
19011,5
19050,5
19056,5
19059,5
19064,5
19154,5
19168,5
19192,5
19237,5
19245,5
19246,5
19250,5
19275,5
19284,5
19296,5
19302,5
19306,5
19333,5
19355,5
19372,5
19379,5
19398,5
19402,5
19407,5
19459,5
19517,5
19539,5
19550,5
19645,5
19672,5
19684,5
19741,5
19762,5
19767,5
19770,5
19788,5
19804,5
19849,5
19880,5
19899,5
19944,5
19947,5
19957,5
20029,5
20036,5
20096,5
20123,5
20124,5
20149,5
20166,5
20224,5
20296,5
20345,5
20350,5
20373,5
20380,5
20402,5
20410,5
20417,5
20425,5
20443,5
20448,5
20454,5
20474,5
20543,5
20555,5
20579,5
20600,5
20677,5
20685,5
20690,5
20702,5
20739,5
20770,5
20773,5
20787,5
20809,5
20818,5
20834,5
20860,5
20867,5
20871,5
20913,5
20948,5
20960,5
21006,5
21032,5
21043,5
21048,5
21051,5
21071,5
21093,5
21128,5
21143,5
21152,5
21184,5
21200,5
21201,5
21225,5
21252,5
21273,5
21297,5
21336,5
21340,5
21369,5
21373,5
21376,5
21410,5
21426,5
21478,5
21484,5
21511,5
21514,5
21566,5
21580,5
21582,5
21602,5
21616,5
21628,5
21768,5
21800,5
21822,5
21824,5
21854,5
21901,5
21920,5
21939,5
21948,5
21958,5
22069,5
22078,5
22099,5
22126,5
22142,5
22151,5
22155,5
22199,5
22201,5
22216,5
22219,5
22252,5
22285,5
22297,5
22344,5
22355,5
22382,5
22414,5
22446,5
22451,5
22483,5
22494,5
22498,5
22527,5
22595,5
22606,5
22615,5
22652,5
22677,5
22710,5
22717,5
22737,5
22739,5
22765,5
22766,5
22789,5
22804,5
22816,5
22833,5
22877,5
22915,5
22953,5
22961,5
22987,5
23028,5
23031,5
23039,5
23042,5
23043,5
23047,5
23054,5
23070,5
23076,5
23124,5
23152,5
23155,5
23165,5
23170,5
23266,5
23349,5
23360,5
23395,5
23402,5
23416,5
23459,5
23475,5
23490,5
23520,5
23567,5
23574,5
23595,5
23636,5
23664,5
23691,5
23693,5
23798,5
23824,5
23837,5
23844,5
23876,5
23894,5
23906,5
23914,5
23953,5
23988,5
24001,5
24018,5
24039,5
24061,5
24080,5
24175,5
24215,5
24261,5
24312,5
24336,5
24341,5
24350,5
24388,5
24407,5
24416,5
24450,5
24455,5
24468,5
24514,5
24522,5
24525,5
24534,5
24626,5
24638,5
24642,5
24722,5
24728,5
24731,5
24790,5
24813,5
24846,5
24857,5
24878,5
24886,5
24981,5
25020,5
25021,5
25067,5
25090,5
25117,5
25130,5
25148,5
25162,5
25176,5
25339,5
25380,5
25382,5
25404,5
25441,5
25456,5
25502,5
25503,5
25509,5
25512,5
25530,5
25532,5
25535,5
25551,5
25573,5
25589,5
25623,5
25626,5
25647,5
25667,5
25677,5
25716,5
25843,5
25849,5
25861,5
25881,5
25921,5
25934,5
25948,5
25965,5
25967,5
26006,5
26085,5
26107,5
26114,5
26125,5
26153,5
26161,5
26172,5
26181,5
26185,5
26221,5
26247,5
26287,5
26290,5
26376,5
26410,5
26446,5
26478,5
26508,5
26512,5
26517,5
26536,5
26537,5
26548,5
26559,5
26609,5
26615,5
26621,5
26626,5
26656,5
26695,5
26740,5
26744,5
26764,5
26768,5
26783,5
26793,5
26819,5
26851,5
26854,5
26891,5
26905,5
26909,5
26992,5
26993,5
26997,5
26998,5
27013,5
27036,5
27038,5
27070,5
27092,5
27094,5
27098,5
27115,5
27120,5
27122,5
27150,5
27179,5
27190,5
27198,5
27254,5
27255,5
27270,5
27289,5
27328,5
27365,5
27371,5
27388,5
27401,5
27405,5
27407,5
27412,5
27424,5
27435,5
27466,5
27499,5
27515,5
27540,5
27590,5
27627,5
27631,5
27638,5
27731,5
27740,5
27763,5
27766,5
27797,5
27805,5
27809,5
27825,5
27927,5
27929,5
28000,5
28014,5
28022,5
28075,5
28084,5
28105,5
28162,5
28173,5
28211,5
28218,5
28247,5
28292,5
28325,5
28402,5
28416,5
28431,5
28440,5
28476,5
28499,5
28539,5
28545,5
28559,5
28594,5
28622,5
28624,5
28633,5
28663,5
28700,5
28727,5
28728,5
28737,5
28804,5
28807,5
28815,5
28819,5
28862,5
28874,5
28915,5
28926,5
28927,5
28973,5
28976,5
28978,5
28994,5
29000,5
29002,5
29029,5
29038,5
29075,5
29076,5
29119,5
29127,5
29147,5
29207,5
29233,5
29282,5
29299,5
29435,5
29467,5
29531,5
29554,5
29560,5
29565,5
29617,5
29648,5
29665,5
29670,5
29675,5
29692,5
29703,5
29723,5
29790,5
29815,5
29821,5
29822,5
29845,5
29855,5
29891,5
29957,5
29960,5
30002,5
30017,5
30049,5
30057,5
30102,5
30138,5
30155,5
30162,5
30164,5
30171,5
30184,5
30192,5
30204,5
30295,5
30303,5
30316,5
30334,5
30379,5
30394,5
30418,5
30441,5
30451,5
30462,5
30490,5
30511,5
30512,5
30527,5
30546,5
30548,5
30616,5
30643,5
30711,5
30712,5
30735,5
30737,5
30750,5
30789,5
30793,5
30818,5
30878,5
30894,5
30908,5
31051,5
31065,5
31077,5
31114,5
31127,5
31131,5
31152,5
31167,5
31212,5
31217,5
31237,5
31253,5
31279,5
31284,5
31326,5
31328,5
31373,5
31383,5
31387,5
31400,5
31403,5
31426,5
31429,5
31434,5
31447,5
31467,5
31470,5
31575,5
31596,5
31622,5
31627,5
31629,5
31637,5
31684,5
31744,5
31761,5
31767,5
31783,5
31846,5
31940,5
31989,5
32005,5
32066,5
32086,5
32097,5
32102,5
32107,5
32142,5
32186,5
32203,5
32206,5
32226,5
32234,5
32273,5
32294,5
32304,5
32377,5
32422,5
32449,5
32493,5
32495,5
32516,5
32623,5
32634,5
32642,5
32652,5
32670,5
32671,5
32686,5
32687,5
32714,5
32718,5
32730,5
32732,5
32782,5
32806,5
32816,5
32891,5
32900,5
32935,5
32953,5
32968,5
32979,5
32991,5
33013,5
33035,5
33055,5
33083,5
33091,5
33101,5
33144,5
33156,5
33202,5
33210,5
33242,5
33245,5
33257,5
33282,5
33310,5
33319,5
33334,5
33341,5
33371,5
33389,5
33401,5
33403,5
33430,5
33445,5
33449,5
33475,5
33489,5
33499,5
33524,5
33544,5
33559,5
33595,5
33606,5
33624,5
33655,5
33692,5
33700,5
33723,5
33772,5
33856,5
33934,5
33972,5
33974,5
33977,5
33999,5
34006,5
34007,5
34009,5
34020,5
34025,5
34086,5
34165,5
34194,5
34212,5
34215,5
34224,5
34238,5
34273,5
34312,5
34362,5
34366,5
34369,5
34384,5
34453,5
34492,5
34532,5
34535,5
34607,5
34626,5
34627,5
34638,5
34673,5
34699,5
34734,5
34758,5
34759,5
34767,5
34774,5
34778,5
34808,5
34809,5
34840,5
34850,5
34900,5
34947,5
34962,5
34967,5
34979,5
34980,5
34989,5
34995,5
35027,5
35042,5
35045,5
35098,5
35118,5
35128,5
35148,5
35184,5
35204,5
35215,5
35241,5
35277,5
35293,5
35304,5
35320,5
35325,5
35331,5
35372,5
35398,5
35431,5
35433,5
35453,5
35485,5
35496,5
35501,5
35519,5
35567,5
35587,5
35600,5
35644,5
35657,5
35671,5
35674,5
35675,5
35706,5
35716,5
35720,5
35756,5
35785,5
35833,5
35852,5
35873,5
35883,5
35886,5
35892,5
35896,5
35908,5
35911,5
35919,5
35942,5
35952,5
35969,5
35974,5
35983,5
35992,5
36013,5
36034,5
36045,5
36055,5
36116,5
36129,5
36131,5
36146,5
36152,5
36186,5
36207,5
36215,5
36223,5
36289,5
36293,5
36301,5
36314,5
36316,5
36336,5
36402,5
36442,5
36446,5
36448,5
36463,5
36527,5
36600,5
36684,5
36718,5
36784,5
36812,5
36814,5
36845,5
36846,5
36869,5
36872,5
36873,5
36892,5
36893,5
36896,5
36902,5
36906,5
37024,5
37045,5
37047,5
37077,5
37087,5
37097,5
37100,5
